GVKEY,LINKPRIM,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,conm,tic
001013,P,LU,50906,2902,1979-03-16,2010-12-31,ADC TELECOMMUNICATIONS INC,ADCT.1
001034,P,LC,65832,20007,1984-02-15,2008-12-29,ALPHARMA INC  -CL A,ALO.2
001045,P,LC,21020,20010,2013-12-09,E,AMERICAN AIRLINES GROUP INC,AAL
001045,P,LC,21020,20010,1962-01-31,2012-01-04,AMERICAN AIRLINES GROUP INC,AAL
001045,C,LC,21020,20010,1950-01-01,1962-01-30,AMERICAN AIRLINES GROUP INC,AAL
001056,C,LC,62500,336,1973-07-01,1977-06-29,AEROFLEX INC,ARXX
001056,P,LC,62500,336,1977-06-30,2007-08-15,AEROFLEX INC,ARXX
001072,C,LC,81912,30930,1995-08-15,2020-03-27,AVX CORP,AVX.1
001075,P,LU,27991,21409,1962-01-31,E,PINNACLE WEST CAPITAL CORP,PNW
001076,J,LC,10517,5674,1993-01-01,2010-11-30,PROG HOLDINGS INC,PRG
001076,P,LC,10517,5674,2010-12-01,E,PROG HOLDINGS INC,PRG
001076,N,LC,78049,5674,1992-11-03,1992-12-31,PROG HOLDINGS INC,PRG
001076,J,LC,78049,5674,2010-12-01,2010-12-10,PROG HOLDINGS INC,PRG
001076,P,LC,10517,5674,1982-11-04,1992-12-31,PROG HOLDINGS INC,PRG
001076,P,LC,78049,5674,1993-01-01,2010-11-30,PROG HOLDINGS INC,PRG
001078,P,LC,20482,20017,1962-01-31,E,ABBOTT LABORATORIES,ABT
001078,C,LC,20482,20017,1950-01-01,1962-01-30,ABBOTT LABORATORIES,ABT
001111,C,LC,79678,12499,1993-10-22,2008-07-09,ACTIVISION INC,ATVI.1
001161,P,LU,61241,211,1972-12-14,E,ADVANCED MICRO DEVICES,AMD
001164,P,LC,90284,45424,2004-07-14,2006-01-06,MCI INC,MCIP
001164,P,LC,11042,61,1986-08-22,2002-07-29,MCI INC,MCIP
001164,P,LC,11042,61,1980-11-24,1986-07-28,MCI INC,MCIP
001177,P,LC,88845,41072,2000-12-14,2018-11-30,AETNA INC,AET
001209,P,LC,28222,20030,1962-01-31,E,AIR PRODUCTS & CHEMICALS INC,APD
001213,P,LU,51721,20031,1971-01-05,2003-08-15,AIRBORNE INC,ABF
001230,P,LU,28804,20035,1966-01-31,E,ALASKA AIR GROUP INC,ALK
001239,P,LC,42083,8127,1965-06-11,2011-05-10,ALBERTO-CULVER CO,ACV.1
001240,P,LU,50032,20038,1970-02-10,2006-06-30,ALBERTSON'S INC,ABS.1
001246,P,LU,48514,20040,1969-06-16,2008-10-31,IKON OFFICE SOLUTIONS,IKN
001254,P,LU,11691,157,1972-12-14,E,MATSON INC,MATX
001274,P,LC,71271,20043,1987-01-30,2022-10-31,ALLEGHANY CORP,Y
001279,P,LU,10137,20045,1962-01-31,2011-02-28,ALLEGHENY ENERGY INC,AYE
001279,C,LU,10137,20045,1951-01-01,1962-01-30,ALLEGHENY ENERGY INC,AYE
001300,P,LC,10145,22168,1962-01-31,E,HONEYWELL INTERNATIONAL INC,HON
001300,C,LC,10145,22168,1950-01-01,1962-01-30,HONEYWELL INTERNATIONAL INC,HON
001318,P,LU,41443,20057,1965-01-18,2007-11-30,ALLTEL CORP,AT.2
001327,P,LU,45911,20058,1968-03-13,E,SKYWORKS SOLUTIONS INC,SWKS
001356,P,LC,24643,20060,1962-01-31,2016-10-31,ALCOA INC,AA.3
001356,C,LC,24643,20060,1951-06-11,1962-01-30,ALCOA INC,AA.3
001359,P,LU,64856,20061,1983-06-08,2001-06-29,ALZA CORP,AZA.1
001380,J,LX,28484,20064,2016-12-01,2025-07-31,HESS CORP,HES
001380,P,LC,28484,20064,1964-03-31,2025-07-31,HESS CORP,HES
001380,N,LX,28484,20064,1998-05-29,2016-11-30,HESS CORP,HES
001382,P,LC,90893,47434,2005-09-27,2013-12-31,US AIRWAYS GROUP INC,LCC
001393,J,LC,23505,30020,2022-11-10,E,U-HAUL HOLDING CO,UHAL
001393,P,LU,81073,30020,1994-11-03,E,U-HAUL HOLDING CO,UHAL
001408,P,LC,10225,20067,1962-01-31,2014-04-30,BEAM INC,BEAM.2
001408,C,LC,10225,20067,1950-01-01,1962-01-30,BEAM INC,BEAM.2
001410,P,LU,47730,20068,1969-02-13,E,ABM INDUSTRIES INC,ABM
001414,P,LC,93330,53383,2010-04-01,E,PRIMERICA INC,PRI
001440,P,LC,24109,20077,1962-01-31,E,AMERICAN ELECTRIC POWER CO,AEP
001440,C,LC,24109,20077,1951-01-01,1962-01-30,AMERICAN ELECTRIC POWER CO,AEP
001447,C,LU,59176,90,1972-12-14,E,AMERICAN EXPRESS CO,AXP
001449,P,LU,57904,92,1973-08-23,E,AFLAC INC,AFL
001465,P,LU,48397,20082,1971-01-29,2001-09-28,AMERICAN GENERAL CORP,AGC.1
001465,C,LC,48397,20082,1971-01-01,1971-01-28,AMERICAN GENERAL CORP,AGC.1
001468,P,LU,13056,121,1972-12-14,2013-08-30,AMERICAN GREETINGS  -CL A,AM.1
001478,C,LC,15667,20086,1950-01-01,1962-01-30,WYETH,WYE
001478,P,LC,15667,20086,1962-01-31,2009-10-15,WYETH,WYE
001487,P,LC,66800,137,1972-12-14,E,AMERICAN INTERNATIONAL GROUP,AIG
001526,P,LC,13507,261,1972-12-14,2022-05-31,AMERICAN NATIONAL GROUP-OLD,ANAT
001567,C,LC,81285,30847,1995-02-03,2008-06-05,TRANE INC,TT.2
001581,C,LC,10401,20103,1950-01-01,1962-01-30,AT&T CORP,T.2
001581,P,LC,10401,20103,1962-01-31,2005-11-18,AT&T CORP,T.2
001587,C,LC,23544,20104,1968-01-01,1968-01-30,AMERICAN WATER WORKS INC,AWK.1
001587,P,LU,23544,20104,1968-01-31,2003-01-31,AMERICAN WATER WORKS INC,AWK.1
001598,P,LC,85257,32054,1997-08-08,E,AMETEK INC,AME
001602,P,LU,14008,216,1983-06-17,E,AMGEN INC,AMGN
001619,C,LU,62770,25,1972-12-14,2006-11-30,AMSOUTH BANCORPORATION,ASO.1
001632,P,LC,60871,282,1972-12-14,E,ANALOG DEVICES INC,ADI
001651,P,LU,14323,272,1980-06-19,2007-12-31,ANDREW CORP,ANDW
001661,P,LC,29102,20201,1968-01-31,E,NABORS INDUSTRIES LTD,NBR
001663,P,LC,59184,29,1972-12-14,2008-11-17,ANHEUSER-BUSCH COS INC,BUD.2
001678,P,LC,39490,20204,1964-01-31,E,APA CORP,APA
001690,P,LU,14593,7,1980-12-12,E,APPLE INC,AAPL
001704,P,LU,14702,194,1972-12-14,E,APPLIED MATERIALS INC,AMAT
001706,P,LC,11581,323,1987-08-05,E,ENERPAC TOOL GROUP CORP,EPAC
001722,P,LC,10516,20207,1962-01-31,E,ARCHER-DANIELS-MIDLAND CO,ADM
001722,C,LC,10516,20207,1949-07-01,1962-01-30,ARCHER-DANIELS-MIDLAND CO,ADM
001773,P,LU,29209,20217,1966-04-29,E,ARROW ELECTRONICS INC,ARW
001794,P,LC,24272,20222,1962-01-31,E,ASHLAND INC,ASH
001837,P,LC,15553,116,1972-12-14,2016-06-30,SOUTHERN CO GAS,SO7
001860,P,LC,15721,403,1972-12-14,2017-10-05,ATWOOD OCEANICS,ATW
001878,P,LU,85631,7623,1985-07-31,E,AUTODESK INC,ADSK
001891,P,LC,44644,20235,1967-06-26,E,AUTOMATIC DATA PROCESSING,ADP
001913,P,LU,44601,20238,1967-06-20,E,AVERY DENNISON CORP,AVY
001919,P,LU,27684,20239,1962-01-31,E,AVNET INC,AVT
001920,P,LU,40416,20240,1964-04-20,2020-01-31,AVON PRODUCTS,AVP
001968,C,LU,53110,20250,1971-08-31,E,BADGER METER INC,BMI
001976,P,LC,75034,20253,1987-04-24,2017-07-04,BAKER HUGHES INC,BHI
001979,C,LU,10318,8237,1986-06-03,E,BALCHEM CORP  -CL B,BCPC
001981,P,LC,58755,481,1976-01-15,2011-01-27,BALDOR ELECTRIC CO,BEZ.1
001988,P,LU,57568,20257,1972-12-14,E,BALL CORP,BALL
001995,C,LC,24221,20258,1951-01-01,1962-01-30,CONSTELLATION ENERGY GRP INC,CEG.1
001995,P,LC,24221,20258,1962-01-31,2012-03-12,CONSTELLATION ENERGY GRP INC,CEG.1
001998,P,LU,65138,606,1972-12-14,2004-06-30,BANK ONE CORP,ONE.1
002001,P,LU,16505,475,1973-01-31,1990-12-31,BANPONCE CORP-OLD,BPOP.
002002,P,LC,16505,475,1991-01-02,E,POPULAR INC,BPOP
002005,C,LU,16548,589,1972-12-14,E,BANK OF HAWAII CORP,BOH
002019,P,LC,49656,20265,1969-12-04,E,BANK OF NEW YORK MELLON CORP,BNY
002044,P,LC,46877,20268,1968-09-30,2017-12-28,BARD (C.R.) INC,BCR
002049,P,LU,39693,20270,1963-10-14,2025-01-31,BARNES GROUP INC,B.2
002054,P,LU,16978,139,1981-05-14,2001-08-31,BARRETT RESOURCES CORP,BRR.2
002085,P,LU,26518,20276,1962-01-31,2007-10-26,BAUSCH & LOMB HLDGS  -REDH,6583B
002086,P,LC,27887,20277,1962-01-31,E,BAXTER INTERNATIONAL INC,BAX
002101,P,LU,29612,20283,1962-07-02,E,APPLIED INDUSTRIAL TECH INC,AIT
002111,P,LU,39642,20284,1963-09-25,E,BECTON DICKINSON & CO,BDX
002136,P,LC,65875,20288,1983-11-30,E,VERIZON COMMUNICATIONS INC,VZ
002146,P,LC,65883,20290,1984-02-16,2006-12-29,BELLSOUTH CORP,BLS
002150,P,LU,65509,5223,1981-12-09,2013-12-31,BELO CORP  -SER A COM,BLC
002154,P,LU,43772,20292,1966-09-13,2019-06-28,BEMIS CO INC,BMS
002169,P,LU,42438,20295,1965-09-08,2001-09-28,BERGEN BRUNSWIG CORP  -CL A,BBC.1
002176,P,LC,17778,540,1976-10-14,2010-01-31,BERKSHIRE HATHAWAY,BRK.B
002176,J,LC,17778,540,2010-02-01,E,BERKSHIRE HATHAWAY,BRK.B
002176,J,LC,83443,540,1996-05-09,2010-01-31,BERKSHIRE HATHAWAY,BRK.B
002176,P,LC,83443,540,2010-02-01,E,BERKSHIRE HATHAWAY,BRK.B
002184,P,LU,85914,7506,1985-05-31,E,BEST BUY CO INC,BBY
002193,P,LC,85640,20300,1997-12-16,2006-03-14,BEVERLY ENTERPRISES INC,BEV.1
002213,P,LU,17962,6314,1983-08-24,2001-02-28,BINDLEY WESTERN INDS,BDY.1
002220,P,LC,61516,655,1982-01-29,E,BIO-RAD LABORATORIES INC,BIO
002222,C,LU,18033,6438,1983-09-29,2014-05-31,SAVIENT PHARMACEUTICALS INC,SVNTQ
002226,P,LU,11983,5872,1983-03-22,2003-11-28,BIOGEN INC-OLD,BGEN
002230,P,LU,18092,5737,1982-12-17,2007-09-28,BIOMET INC,5938B
002255,P,LC,20220,20306,1962-01-31,2010-03-12,BLACK & DECKER CORP,BDK
002255,C,LC,20220,20306,1949-10-01,1962-01-30,BLACK & DECKER CORP,BDK
002259,P,LC,61946,511,1972-12-14,E,BLACK HILLS CORP,BKH
002269,P,LU,49373,20309,1969-10-13,E,BLOCK H & R INC,HRB
002270,P,LC,62519,559,1980-02-28,2009-12-22,VALARIS LIMITED,VAL
002282,P,LC,18570,595,1972-12-14,2018-01-11,BOB EVANS FARMS,BOBE
002285,C,LU,19561,20315,1950-01-01,1962-01-30,BOEING CO,BA
002285,P,LU,19561,20315,1962-01-31,E,BOEING CO,BA
002290,P,LC,42024,20316,1965-06-02,2013-11-05,OFFICEMAX INC,OMX
002312,C,LU,52230,469,1971-04-15,E,ROBERT HALF INC,RHI
002328,P,LC,87146,35233,1999-09-27,2012-04-09,NSTAR,NST
002337,P,LC,66130,20325,1984-05-18,2009-04-15,RESOLUTE FOREST PRODUCTS INC,RFP
002337,P,LC,12437,20325,2010-12-20,2023-03-31,RESOLUTE FOREST PRODUCTS INC,RFP
002337,N,LX,66130,20325,2007-10-31,2009-04-15,RESOLUTE FOREST PRODUCTS INC,RFP
002337,N,LX,12437,20325,2010-12-20,2023-03-31,RESOLUTE FOREST PRODUCTS INC,RFP
002352,P,LU,18973,7113,1984-06-28,E,BRADY CORP,BRC
002393,P,LU,17961,20330,1962-01-31,2021-01-07,BRIGGS & STRATTON,BGGSQ
002393,C,LU,17961,20330,1950-01-01,1962-01-30,BRIGGS & STRATTON,BGGSQ
002403,P,LU,19393,20331,1962-01-31,E,BRISTOL-MYERS SQUIBB CO,BMY
002403,C,LU,19393,20331,1950-01-01,1962-01-30,BRISTOL-MYERS SQUIBB CO,BMY
002435,P,LU,29946,20340,1962-07-02,E,BROWN FORMAN CORP,BF.B
002437,P,LU,19546,4478,1972-12-14,2004-05-28,BROWN (TOM) INC,TBI.
002444,P,LU,10874,20344,1962-01-31,E,BRUNSWICK CORP,BC
002444,C,LU,10874,20344,1950-01-01,1962-01-30,BRUNSWICK CORP,BC
002484,P,LU,67176,6058,1983-06-09,2006-04-28,BURLINGTON COAT FACTORY INVS,0015B
002490,P,LU,50227,20350,1970-03-03,2010-02-26,BURLINGTON NORTHERN SANTA FE,BRK3
002497,P,LU,19880,678,1972-12-14,E,MASTEC INC,MTZ
002504,P,LU,10890,21814,1962-01-31,E,UNISYS CORP,UIS
002504,C,LU,10890,21814,1950-01-01,1962-01-30,UNISYS CORP,UIS
002536,P,LC,20117,6702,1984-01-31,E,LIVERAMP HOLDINGS INC,RAMP
002547,P,LC,64186,20357,1982-04-20,E,CIGNA GROUP (THE),CI
002549,C,LC,85599,32141,1997-11-13,2001-06-01,CIT GROUP INC-OLD,CIT.1
002558,P,LC,47626,20363,1972-01-31,E,CNA FINANCIAL CORP,CNA
002558,C,LC,47626,20363,1972-01-01,1972-01-30,CNA FINANCIAL CORP,CNA
002574,P,LC,62148,20370,1980-11-13,E,CSX CORP,CSX
002593,P,LU,46690,20374,1968-08-23,E,CABOT CORP,CBT
002596,P,LU,20512,727,1979-03-30,E,CACI INTL INC  -CL A,CACI
002616,P,LU,20678,6527,1983-10-26,2003-04-30,SCIOS INC,SCIO.
002620,P,LC,20694,841,1983-12-30,2008-11-03,MUFG AMERICAS HOLDINGS CORP,0176A
002628,C,LU,20750,1222,1974-01-01,1974-01-30,CALIFORNIA WATER SERVICE GP,CWT
002628,P,LU,20750,1222,1974-01-31,E,CALIFORNIA WATER SERVICE GP,CWT
002663,P,LU,25320,20384,1962-01-31,E,CAMPBELL'S CO (THE),CPB
002710,P,LC,69796,1015,1993-09-01,E,CONSTELLATION BRANDS,STZ
002710,J,LC,69796,1015,1986-07-14,1993-08-31,CONSTELLATION BRANDS,STZ
002731,P,LC,85073,32010,1997-06-13,2005-09-30,PROVIDIAN FINANCIAL CORP,PVN
002751,P,LC,21371,6262,1983-08-04,E,CARDINAL HEALTH INC,CAH
002771,P,LU,27334,20392,1962-01-31,E,CARLISLE COS INC,CSL
002783,C,LU,23114,20397,2012-07-01,E,PROGRESS ENERGY INC,DUK8
002783,P,LU,23114,20397,1962-01-31,2012-06-30,PROGRESS ENERGY INC,DUK8
002783,C,LU,23114,20397,1951-01-01,1962-01-30,PROGRESS ENERGY INC,DUK8
002787,P,LU,20618,20398,1962-01-31,E,CARPENTER TECHNOLOGY CORP,CRS
002787,C,LU,20618,20398,1949-07-01,1962-01-30,CARPENTER TECHNOLOGY CORP,CRS
002807,P,LU,21742,6515,1983-10-20,E,CASEYS GENERAL STORES INC,CASY
002812,P,LC,40707,20405,1964-06-05,2003-03-28,DOLE FOOD CO INC,DOLE.1
002817,P,LC,18542,20408,1962-01-31,E,CATERPILLAR INC,CAT
002817,C,LC,18542,20408,1950-01-01,1962-01-30,CATERPILLAR INC,CAT
002820,P,LC,89792,44168,2003-07-01,E,CAVCO INDUSTRIES INC,CVCO
002845,P,LU,53831,20413,1971-12-28,2009-08-31,CENTEX CORP,CTX.2
002849,P,LU,22032,780,1978-01-31,2007-09-28,BBVA COMPASS BANCSHARES INC,BBVA1
002849,C,LC,22032,780,1978-01-01,1978-01-30,BBVA COMPASS BANCSHARES INC,BBVA1
002859,C,LC,64557,5140,1981-11-02,2016-04-13,CLECO CORP,CNL.1
002884,P,LC,60599,20421,1972-12-14,E,LUMEN TECHNOLOGIES INC,LUMN
002888,P,LC,22374,7137,1984-07-18,2012-11-28,CERADYNE INC,CRDN
002938,P,LU,22753,894,1972-12-14,2012-06-29,CHARMING SHOPPES INC,CHRS.1
002940,P,LC,90011,25268,2004-01-06,2022-01-31,MAGELLAN HEALTH INC,MGLN
002942,C,LC,22825,904,1989-04-18,2021-06-30,CANTEL MEDICAL CORP,CMD
002950,P,LC,22905,899,1972-12-14,2010-03-10,CHATTEM INC,CHTT
002960,P,LU,64194,20435,1972-12-14,E,CHEMED CORP,CHE
002968,P,LC,47896,20436,1969-03-05,E,JPMORGAN CHASE & CO,JPM
002991,P,LU,14541,20440,1962-01-31,E,CHEVRON CORP,CVX
002991,C,LU,14541,20440,1950-01-01,1962-01-30,CHEVRON CORP,CVX
003007,P,LU,23297,6760,1984-01-06,E,BRINKER INTL INC,EAT
003011,P,LU,23318,6249,1983-08-02,2006-04-28,CHIRON CORP,CHIR.1
003015,P,LU,21282,20444,1962-01-31,2001-07-31,CHRIS-CRAFT INDS,CCN.2
003015,C,LU,21282,20444,1950-01-01,1962-01-30,CHRIS-CRAFT INDS,CCN.2
003024,P,LC,59192,900,1974-01-31,2016-01-14,CHUBB CORP,CB.1
003024,C,LC,59192,900,1974-01-01,1974-01-30,CHUBB CORP,CB.1
003026,P,LU,23393,1103,1976-12-30,E,CHURCH & DWIGHT INC,CHD
003028,P,LC,79026,27849,1993-03-29,E,CHURCHILL DOWNS INC,CHDN
003036,P,LC,47677,20448,1969-02-06,2021-09-30,CINCINNATI BELL INC,CBB
003039,P,LC,22947,20449,1981-01-01,1994-10-24,DUKE ENERGY OHIO INC,CIN1
003039,C,LD,22947,20449,1951-01-01,1962-01-30,DUKE ENERGY OHIO INC,CIN1
003039,P,LD,22947,20449,1962-01-31,1980-12-31,DUKE ENERGY OHIO INC,CIN1
003054,P,LC,47175,20453,1968-11-18,2008-11-07,CIRCUIT CITY STORES INC,CCTYQ
003062,P,LC,23660,6304,1983-08-19,E,CINTAS CORP,CTAS
003063,P,LU,65533,20455,1983-10-25,2005-04-29,MANDALAY RESORT GROUP,MBG.2
003071,P,LC,86685,7569,1985-05-31,2013-04-30,CITIZENS REPUBLIC BANCORP,CRBC
003078,P,LC,23887,925,1997-08-01,2000-08-30,CITIZENS COMMUN  -SER B OLD,CZN.1
003078,N,LC,23887,925,1982-01-29,1997-07-31,CITIZENS COMMUN  -SER B OLD,CZN.1
003082,P,LC,23916,1194,1981-01-01,2015-10-30,CITY NATIONAL CORP,CYN.1
003087,P,LU,67459,6295,1981-01-30,2007-06-29,CLAIRES STORES INC,CLE
003093,P,LU,23975,952,1972-12-14,2017-02-28,CLARCOR INC,CLC
003103,P,LU,66878,6096,1983-06-22,2003-08-29,CLAYTON HOMES INC,CMH
003105,P,LC,24046,6996,1984-04-19,2008-07-30,IHEARTMEDIA INC,IHRT
003107,P,LC,27422,20462,1962-01-31,E,CLEVELAND-CLIFFS INC,CLF
003121,P,LU,46578,20463,1968-08-01,E,CLOROX CO/DE,CLX
003138,P,LU,11995,1035,1982-11-01,E,COCA COLA CONSOLIDATED INC,COKE
003144,C,LC,11308,20468,1950-01-01,1962-01-30,COCA-COLA CO,KO
003144,P,LC,11308,20468,1962-01-31,E,COCA-COLA CO,KO
003153,N,LX,24441,1071,2005-01-31,E,COEUR MINING INC,CDE
003153,P,LC,24441,1071,1979-07-25,E,COEUR MINING INC,CDE
003157,P,LU,24476,1033,1972-12-14,2022-07-29,COHERENT INC,COHR.1
003170,P,LU,18729,20473,1962-01-31,E,COLGATE-PALMOLIVE CO,CL
003170,C,LU,18729,20473,1950-01-01,1962-01-30,COLGATE-PALMOLIVE CO,CL
003221,P,LC,61735,20203,1980-06-02,E,AON PLC,AON
003226,P,LC,89525,43613,2002-11-19,E,COMCAST CORP,CMCSA
003226,J,LC,11997,962,2002-11-01,2002-11-18,COMCAST CORP,CMCSA
003226,N,LC,11997,962,1986-12-24,1993-11-30,COMCAST CORP,CMCSA
003226,P,LC,11997,962,1993-12-01,2002-10-31,COMCAST CORP,CMCSA
003230,P,LC,61524,20481,1972-12-14,2002-04-12,COMDISCO HOLDING CO INC,CDCO
003231,P,LC,25081,1261,1972-12-14,E,COMERICA INC,CMA
003238,C,LU,25129,779,1972-12-14,E,COMMERCE BANCSHARES INC,CBSH
003243,P,LC,70519,20483,1986-10-29,E,CITIGROUP INC,C
003246,C,LU,30680,20484,1962-07-02,E,COMMERCIAL METALS,CMC
003278,P,LC,25487,6391,1983-09-14,E,AVIS BUDGET GROUP INC,CAR
003282,P,LU,68347,6680,1983-12-09,2002-05-31,COMPAQ COMPUTER CORP,CPQ.2
003310,P,LC,25778,5220,1981-12-15,2018-11-30,CA INC,CA.1
003336,P,LC,40125,20493,1964-04-30,E,DXC TECHNOLOGY CO,DXC
003358,C,LU,26201,9654,1972-12-14,E,COMTECH TELECOMMUN,CMTL
003362,C,LC,56274,20495,1972-12-14,E,CONAGRA BRANDS INC,CAG
003373,P,LU,26332,7099,1984-06-21,2004-02-27,CONCORD EFS INC,CE.2
003382,P,LC,13625,54209,2012-10-11,E,SHUTTERSTOCK INC,SSTK
003413,P,LU,11404,20499,1962-01-31,E,CONSOLIDATED EDISON INC,ED
003413,C,LU,11404,20499,1951-01-01,1962-01-30,CONSOLIDATED EDISON INC,ED
003416,P,LU,41929,20501,1965-05-05,2015-10-30,CON-WAY INC,CNW
003439,P,LD,23229,20361,1962-01-31,1987-05-26,CMS ENERGY CORP,CMS
003439,P,LC,23229,20361,1987-05-27,E,CMS ENERGY CORP,CMS
003469,P,LC,91983,52253,2007-05-15,2022-11-30,CONTINENTAL RESOURCES INC,CLR
003480,P,LC,38914,20514,1963-03-06,2007-11-08,CERIDIAN CORP,4622B
003497,C,LN,21979,20517,1950-01-01,1962-01-30,COOPER INDUSTRIES PLC,CBE
003497,P,LC,21979,20517,1962-01-31,E,COOPER INDUSTRIES PLC,CBE
003502,P,LU,27430,20518,1962-01-31,2021-06-30,COOPER TIRE & RUBBER CO,CTB
003504,P,LC,65541,5780,1983-01-21,E,COOPER COS INC (THE),COO
003505,P,LC,59248,33,1975-06-12,E,MOLSON COORS BEVERAGE CO,TAP
003505,N,LX,59248,33,2005-02-28,E,MOLSON COORS BEVERAGE CO,TAP
003532,P,LU,22293,20523,1962-01-31,E,CORNING INC,GLW
003532,C,LU,22293,20523,1950-01-01,1962-01-30,CORNING INC,GLW
003555,P,LC,64565,796,1979-03-12,2008-06-30,COUNTRYWIDE FINANCIAL CORP,CFC.3
003561,C,LU,51692,21405,1970-12-14,1979-03-30,COUSINS MORTGAGE & EQUITY,CUZ.1
003570,P,LC,27562,5169,1981-11-05,E,CRACKER BARREL OLD CTRY STOR,CBRL
003580,C,LC,20204,20531,1950-01-01,1962-01-30,CRANE CO,CR
003580,P,LC,23744,59505,2023-04-04,E,CRANE CO,CR
003580,P,LC,20204,20531,1962-01-31,2023-04-03,CRANE CO,CR
003592,P,LC,14229,54593,2013-10-16,E,ONEMAIN HOLDINGS INC,OMF
003607,P,LC,38420,20532,2010-11-11,2017-04-28,CHEMTURA CORP,CHMT.1
003607,P,LC,38420,20532,1962-08-13,2009-03-18,CHEMTURA CORP,CHMT.1
003619,C,LU,17726,20537,1950-01-01,1962-01-30,CROWN HOLDINGS INC,CCK
003619,P,LU,17726,20537,1962-01-31,E,CROWN HOLDINGS INC,CCK
003639,P,LU,31077,20541,1966-04-29,2021-05-28,CUBIC CORP,CUB.1
003643,P,LU,27888,840,1977-07-08,E,CULLEN/FROST BANKERS INC,CFR
003650,P,LU,41080,20543,1964-09-10,E,CUMMINS INC,CMI
003662,P,LC,18091,20546,1962-01-31,E,CURTISS-WRIGHT CORP,CW
003662,C,LC,18091,20546,1950-01-01,1962-01-30,CURTISS-WRIGHT CORP,CW
003707,C,LC,83186,31782,1995-11-01,2018-04-30,DST SYSTEMS INC,DST
003708,P,LC,19828,20550,2008-09-30,E,WENDY'S CO,WEN
003708,P,LC,19828,20550,1976-06-17,2003-08-31,WENDY'S CO,WEN
003708,J,LC,19828,20550,2003-09-01,2008-09-29,WENDY'S CO,WEN
003708,C,LC,19828,20550,1950-01-01,1962-01-30,WENDY'S CO,WEN
003708,P,LC,19828,20550,1962-01-31,1967-11-05,WENDY'S CO,WEN
003734,P,LC,92570,52956,2008-02-01,E,DANA INC,DAN
003734,P,LC,11607,20556,1962-01-31,2006-03-03,DANA INC,DAN
003734,C,LC,11607,20556,1949-09-01,1962-01-30,DANA INC,DAN
003735,C,LC,49680,20557,1970-01-01,1970-01-29,DANAHER CORP,DHR
003735,P,LC,49680,20557,1970-01-30,E,DANAHER CORP,DHR
003813,P,LU,49154,20561,1969-09-08,E,TARGET CORP,TGT
003814,P,LC,22859,20549,1962-01-31,2011-11-25,DPL INC,AES5
003814,C,LC,22859,20549,1951-01-01,1962-01-30,DPL INC,AES5
003821,P,LU,63554,1280,1972-12-14,2001-12-31,DEAN FOODS CO  -OLD,DF.1
003835,P,LC,19350,20566,1962-01-31,E,DEERE & CO,DE
003835,C,LC,19350,20566,1949-11-01,1962-01-30,DEERE & CO,DE
003848,P,LU,24002,20568,1962-01-31,2002-08-01,CONECTIV INC,POM2
003848,C,LU,24002,20568,1951-01-01,1962-01-30,CONECTIV INC,POM2
003851,P,LC,91926,20569,2007-05-03,E,DELTA AIR LINES INC,DAL
003851,P,LC,26112,20569,1962-01-31,2005-10-12,DELTA AIR LINES INC,DAL
003863,P,LU,61743,1285,1972-12-14,E,DELUXE CORP,DLX
003897,P,LC,11674,20574,1962-01-31,E,DTE ENERGY CO,DTE
003905,C,LU,76708,10992,1991-06-21,E,COVISTA INC,CVSA
003917,P,LU,29752,5541,1982-06-08,2006-07-31,DIAGNOSTIC PRODUCTS CORP,DP
003918,J,LC,65226,1387,1996-04-01,1996-04-01,DRS TECHNOLOGIES INC,DRS.1
003918,P,LC,65226,1387,1996-04-02,2008-10-21,DRS TECHNOLOGIES INC,DRS.1
003918,P,LC,65226,1387,1982-01-29,1996-03-31,DRS TECHNOLOGIES INC,DRS.1
003918,N,LD,65226,1387,1982-01-29,1982-12-31,DRS TECHNOLOGIES INC,DRS.1
003918,C,LC,65226,1387,1981-01-23,1982-01-28,DRS TECHNOLOGIES INC,DRS.1
003946,P,LC,40440,20582,1964-04-27,2023-05-26,DIEBOLD NIXDORF INC,DBD
003949,N,LX,76769,25593,1998-04-30,2006-05-31,VERITAS DGC INC,VTS.
003949,C,LC,76769,25593,1991-07-26,2007-01-11,VERITAS DGC INC,VTS.
003964,P,LU,49429,20584,1969-10-27,E,DILLARDS INC  -CL A,DDS
003969,P,LC,44943,20585,1968-01-31,E,DIODES INC,DIOD
003971,P,LC,30147,5713,1982-12-07,2011-05-17,DIONEX CORP,DNEX
003980,P,LC,26403,20587,1962-01-31,E,DISNEY (WALT) CO,DIS
004016,P,LC,93096,53264,2009-11-13,E,DOLLAR GENERAL CORP,DG
004016,P,LC,30382,1354,1972-12-14,2007-07-06,DOLLAR GENERAL CORP,DG
004029,P,LC,64936,20592,1983-06-02,E,DOMINION ENERGY INC,D
004036,P,LU,61313,1344,1972-12-14,E,DONALDSON CO INC,DCI
004040,N,LX,38682,20594,2004-02-27,2022-02-28,DONNELLEY (R R) & SONS CO,RRD
004040,P,LC,38682,20594,1962-12-07,2022-02-28,DONNELLEY (R R) & SONS CO,RRD
004058,P,LC,25953,20596,1962-01-31,E,DOVER CORP,DOV
004058,C,LC,25953,20596,1960-01-01,1962-01-30,DOVER CORP,DOV
